time,winChips,tableChips,amIFold,myChips,myHand,enemyHands
2018-07-20 10:58:46,0,380,True,2900,Straight,"Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Flush:isFold=False;isAllIn=False"
2018-07-20 10:59:12,0,140,True,2900,Two Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Straight:isFold=False;isAllIn=False"
2018-07-20 10:59:53,0,3160,True,2900,Two Pair,"Three of a Kind:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Straight:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 11:00:48,0,2400,True,2860,Two Pair,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 11:01:12,0,110,True,2820,Two Pair,"Three of a Kind:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:01:37,0,120,True,2780,Two Pair,"Two Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:02:15,0,2780,False,446,High Card,"Straight:isFold=False;isAllIn=False, Flush:isFold=False;isAllIn=True, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 11:02:48,520,520,False,806,High Card,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False"
2018-07-20 11:03:23,0,3186,False,0,High Card,"Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=True"
2018-07-20 11:13:22,0,6260,True,2940,Pair,"Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=True, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True"
2018-07-20 11:14:04,0,400,False,2840,High Card,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 11:14:32,0,140,True,2840,Two Pair,"Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:15:10,340,340,False,3080,Two Pair,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:15:43,160,160,False,3200,Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False"
2018-07-20 11:16:30,0,3150,True,3200,High Card,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Straight:isFold=False;isAllIn=False, Straight:isFold=True;isAllIn=False"
2018-07-20 11:16:59,0,160,True,3160,Pair,"High Card:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 11:17:32,0,640,True,3040,Two Pair,"Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 11:18:02,0,340,True,3020,Two Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False"
2018-07-20 11:18:32,0,870,True,2740,Two Pair,"Full House:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 11:19:03,0,360,True,2660,Two Pair,"Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Straight:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 11:19:38,0,640,True,2660,Pair,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:20:17,0,2440,True,2660,Two Pair,"Full House:isFold=False;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:20:56,0,680,True,2540,Two Pair,"Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:21:38,8020,8020,False,8020,Full House,"Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Three of a Kind:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False"
2018-07-20 11:22:11,0,1400,True,7980,Pair,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=False;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 11:22:41,0,640,True,7980,High Card,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 11:23:13,0,1200,True,7980,Pair,"Two Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=True, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 11:23:32,0,280,True,7980,Pair,"Three of a Kind:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 11:24:02,0,1320,True,7900,High Card,"Pair:isFold=False;isAllIn=False, Pair:isFold=False;isAllIn=False, High Card:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False"
2018-07-20 11:24:29,0,1280,True,7740,Three of a Kind,"Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Two Pair:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False"
2018-07-20 11:24:52,0,1040,True,7660,Pair,"Straight:isFold=True;isAllIn=False, Pair:isFold=False;isAllIn=False, Pair:isFold=True;isAllIn=False, High Card:isFold=True;isAllIn=False, Pair:isFold=True;isAllIn=False"
